"PartitionKey,""RowKey"",""Date"",""Day7"""
NXT,2519447507977683322,09.03.2016 19:00:02,21.48
NXT,2519447525981144085,09.03.2016 18:30:01,21.83
NXT,2519447543975541204,09.03.2016 18:00:02,20.69
NXT,2519447561981771531,09.03.2016 17:30:01,21.26
NXT,2519447579952178803,09.03.2016 17:00:04,20.85
NXT,2519447597982247156,09.03.2016 16:30:01,19.94
NXT,2519447615976272798,09.03.2016 16:00:02,21.15
NXT,2519447633982556515,09.03.2016 15:30:01,20.85
NXT,2519447651980828848,09.03.2016 15:00:01,20.23
NXT,2519447669984742365,09.03.2016 14:30:01,22.82
NXT,2519447687978232106,09.03.2016 14:00:02,25.43
NXT,2519447705983160638,09.03.2016 13:30:01,18.82
NXT,2519447723965063606,09.03.2016 13:00:03,16.05
NXT,2519447741979096469,09.03.2016 12:30:02,15.28
NXT,2519447759977229462,09.03.2016 12:00:02,14.83
NXT,2519447777988004736,09.03.2016 11:30:01,13.50
NXT,2519447795966816247,09.03.2016 11:00:03,13.55
NXT,2519447813987687562,09.03.2016 10:30:01,13.71
NXT,2519447831986340491,09.03.2016 10:00:01,13.57
NXT,2519447849986341571,09.03.2016 09:30:01,15.74
NXT,2519447867976085153,09.03.2016 09:00:02,14.95
NXT,2519447885986652136,09.03.2016 08:30:01,15.07
NXT,2519447903986302033,09.03.2016 08:00:01,14.12
NXT,2519447921988015108,09.03.2016 07:30:01,14.69
NXT,2519447939987680221,09.03.2016 07:00:01,17.14
NXT,2519447957987268204,09.03.2016 06:30:01,15.67
NXT,2519447975987540158,09.03.2016 06:00:01,17.48
NXT,2519447993987981834,09.03.2016 05:30:01,16.30
NXT,2519448011987075214,09.03.2016 05:00:01,13.62
NXT,2519448029988354219,09.03.2016 04:30:01,15.26
NXT,2519448047989603495,09.03.2016 04:00:01,15.85
NXT,2519448065988611784,09.03.2016 03:30:01,18.58
NXT,2519448083988297076,09.03.2016 03:00:01,20.40
NXT,2519448101987728420,09.03.2016 02:30:01,23.09
NXT,2519448119958051899,09.03.2016 02:00:04,23.03
NXT,2519448137983506613,09.03.2016 01:30:01,22.73
NXT,2519448155977324222,09.03.2016 01:00:02,21.72
NXT,2519448173981164062,09.03.2016 00:30:01,22.45
NXT,2519448191976161197,09.03.2016 00:00:02,23.98
NXT,2519448209985551698,08.03.2016 23:30:01,26.37
NXT,2519448227967618711,08.03.2016 23:00:03,27.46
NXT,2519448245986948935,08.03.2016 22:30:01,28.12
NXT,2519448263969725553,08.03.2016 22:00:03,25.44
NXT,2519448281980579274,08.03.2016 21:30:01,29.64
NXT,2519448299981347849,08.03.2016 21:00:01,25.95
NXT,2519448317982475219,08.03.2016 20:30:01,26.96
NXT,2519448335980829349,08.03.2016 20:00:01,22.18
NXT,2519448353981229381,08.03.2016 19:30:01,19.88
NXT,2519448371981717496,08.03.2016 19:00:01,19.12
NXT,2519448389980350960,08.03.2016 18:30:01,11.69
NXT,2519448407979843689,08.03.2016 18:00:02,12.37
NXT,2519448425982130620,08.03.2016 17:30:01,12.13
NXT,2519448443980203008,08.03.2016 17:00:01,11.59
NXT,2519448461979302626,08.03.2016 16:30:02,8.78
NXT,2519448479979820429,08.03.2016 16:00:02,6.87
NXT,2519448497979701494,08.03.2016 15:30:02,6.29
NXT,2519448515981353468,08.03.2016 15:00:01,4.77
NXT,2519448533978254110,08.03.2016 14:30:02,3.80
NXT,2519448551978505783,08.03.2016 14:00:02,3.59
NXT,2519448569976491517,08.03.2016 13:30:02,3.47
NXT,2519448569988053779,08.03.2016 13:30:01,3.47
NXT,2519448587967852901,08.03.2016 13:00:03,6.33
NXT,2519448587989024660,08.03.2016 13:00:01,6.33
NXT,2519448605977519874,08.03.2016 12:30:02,5.50
NXT,2519448605988959647,08.03.2016 12:30:01,5.50
NXT,2519448623988100466,08.03.2016 12:00:01,3.39
NXT,2519448641988403319,08.03.2016 11:30:01,3.70
NXT,2519448659988611619,08.03.2016 11:00:01,5.47
NXT,2519448677988190377,08.03.2016 10:30:01,4.76
NXT,2519448695989049965,08.03.2016 10:00:01,2.98
NXT,2519448713987254549,08.03.2016 09:30:01,4.07
NXT,2519448731987432864,08.03.2016 09:00:01,3.97
NXT,2519448749986944196,08.03.2016 08:30:01,3.77
NXT,2519448767988190798,08.03.2016 08:00:01,4.70
NXT,2519448785986130515,08.03.2016 07:30:01,4.63
NXT,2519448803986037883,08.03.2016 07:00:01,3.70
NXT,2519448821987229381,08.03.2016 06:30:01,3.73
NXT,2519448839967919921,08.03.2016 06:00:03,4.69
NXT,2519448857981842419,08.03.2016 05:30:01,4.60
NXT,2519448875977671085,08.03.2016 05:00:02,3.50
NXT,2519448893983744210,08.03.2016 04:30:01,4.31
NXT,2519448911984315601,08.03.2016 04:00:01,4.53
NXT,2519448929985656970,08.03.2016 03:30:01,5.54
NXT,2519448947988942834,08.03.2016 03:00:01,4.96
NXT,2519448965989240344,08.03.2016 02:30:01,2.44
NXT,2519448983990408903,08.03.2016 02:00:00,2.52
NXT,2519449001983657567,08.03.2016 01:30:01,2.14
NXT,2519449019990699389,08.03.2016 01:00:00,2.08
NXT,2519449037988805829,08.03.2016 00:30:01,1.96
NXT,2519449055982094768,08.03.2016 00:00:01,1.46
NXT,2519449073989937592,07.03.2016 23:30:01,1.69
NXT,2519449091970562422,07.03.2016 23:00:02,1.17
NXT,2519449109979035539,07.03.2016 22:30:02,0.92
NXT,2519449127978229648,07.03.2016 22:00:02,0.37
NXT,2519449145980490791,07.03.2016 21:30:01,0.19
NXT,2519449163978480438,07.03.2016 21:00:02,-0.61
NXT,2519449181980653573,07.03.2016 20:30:01,0.36
NXT,2519449199979058608,07.03.2016 20:00:02,0.64
NXT,2519449217980676822,07.03.2016 19:30:01,1.89
NXT,2519449235978939162,07.03.2016 19:00:02,3.69
NXT,2519449253980833144,07.03.2016 18:30:01,2.29
NXT,2519449271971057211,07.03.2016 18:00:02,0.74
NXT,2519449289982989741,07.03.2016 17:30:01,0.16
NXT,2519449307980500268,07.03.2016 17:00:01,0.24
NXT,2519449325982786403,07.03.2016 16:30:01,0.23
NXT,2519449343972601495,07.03.2016 16:00:02,0.27
NXT,2519449361987531824,07.03.2016 15:30:01,-1.19
NXT,2519449379978926289,07.03.2016 15:00:02,-0.64
NXT,2519449397986453141,07.03.2016 14:30:01,-1.37
NXT,2519449415981145180,07.03.2016 14:00:01,-1.28
NXT,2519449433985320342,07.03.2016 13:30:01,-1.49
NXT,2519449451977288634,07.03.2016 13:00:02,-1.65
NXT,2519449469986478307,07.03.2016 12:30:01,-1.73
NXT,2519449487980620234,07.03.2016 12:00:01,-1.78
NXT,2519449505986051063,07.03.2016 11:30:01,-0.54
NXT,2519449523978674111,07.03.2016 11:00:02,-1.39
NXT,2519449541987766431,07.03.2016 10:30:01,-2.21
NXT,2519449559969952948,07.03.2016 10:00:03,-1.91
NXT,2519449577986788128,07.03.2016 09:30:01,-1.94
NXT,2519449595987974540,07.03.2016 09:00:01,-1.04
NXT,2519449613988428531,07.03.2016 08:30:01,-0.71
NXT,2519449631986423320,07.03.2016 08:00:01,-0.41
NXT,2519449649987760539,07.03.2016 07:30:01,-0.15
NXT,2519449667988125105,07.03.2016 07:00:01,-0.30
NXT,2519449685988578930,07.03.2016 06:30:01,0.48
NXT,2519449703987283506,07.03.2016 06:00:01,-2.68
NXT,2519449721986928146,07.03.2016 05:30:01,-1.62
NXT,2519449739986466052,07.03.2016 05:00:01,-0.80
NXT,2519449757986455143,07.03.2016 04:30:01,-1.02
